offset			,radius			,minErrorPerVert,maxErrorPerVert,totalError		,averageError	
0.25,0.25,1.385406531702327e-05,0.4342422772209166,1081.04208600746,0.3002894683354056
0.25,0.5,2.078109797896965e-05,0.6513634158313755,1621.563129011207,0.4504342025031129
0.25,1,3.463516329221816e-05,1.085605693052269,2702.605215018575,0.750723670838493
0.25,2,6.234329391868743e-05,1.954090247494108,4864.689387033475,1.351302607509299
0.25,4,0.0001177595551935529,3.691059356377805,9188.857731063326,2.552460480850924
0.25,8,0.0002285920777216344,7.164997574145055,17837.19441912293,4.954776227534146
0.25,16,0.0004502571227877894,14.1128740096799,35133.86779524268,9.759407720900745
0.25,32,0.000893587212818403,28.0086268807488,69727.21454748041,19.36867070763345
0.25,64,0.001780247393107004,55.80013262288702,138913.9080519559,38.58719668109886
0.25,128,0.00355356775400395,111.3831441071666,277287.2950609147,77.02424862803187
0.25,256,0.007100208475328884,222.549167075717,554034.069078817,153.8983525218936
0.25,512,0.01419348991706215,444.8812130128233,1107527.617114622,307.6465603096172
0.25,1024,0.02838005280204925,889.5453048870504,2214514.713186271,615.1429758850752
0.25,2048,0.05675317856497486,1778.873488635473,4428488.905329488,1230.135807035969
0.25,4096,0.1134994301073675,3557.529856132357,8856437.289616015,2460.121469337782
0.25,8192,0.2269919331993151,7114.842591126004,17712334.05818899,4920.092793941386
0.25,16384,0.4539769392786184,14229.46806111358,35424127.59533531,9840.035443148698
0.25,32768,0.90794695159002,28458.71900108863,70847714.66962692,19679.92074156303
0.25,65536,1.815886976186448,56917.22088103808,141694888.8182125,39359.69133839235
0.25,131072,3.631767025111913,113834.2246409381,283389237.1153761,78719.2325320489
0.25,262144,7.2635271221734,227668.2321607386,566777933.7097116,157438.3149193643
0.25,524288,14.52704732213169,455336.2472003321,1133555326.898394,314876.4796939983
0.25,1048576,29.05408771583461,910672.2772795351,2267110113.275744,629752.8092432622
0.25,2097152,58.10816849849652,1821344.337437911,4534219686.03038,1259505.468341772
0.25,4194304,116.2163300742395,3642688.457754647,9068438831.539721,2519010.786538811
0.25,8388608,232.4326532273553,7285376.698388271,18136877122.55852,5038021.422932923
0.5,0.25,2.078109797896965e-05,0.6513634158313755,1621.563129011207,0.4504342025031129
0.5,0.5,2.770813063404653e-05,0.8684845544418331,2162.08417201492,0.6005789366708112
0.5,1,4.156219595793931e-05,1.302726831662751,3243.126258022413,0.9008684050062259
0.5,2,6.927032658443633e-05,2.171211386104537,5405.210430037149,1.501447341676986
0.5,4,0.0001246865878373749,3.908180494988216,9729.37877406695,2.702605215018597
0.5,8,0.0002355191103871057,7.382118712755609,18377.71546212665,5.104920961701848
0.5,16,0.0004571841554432687,14.32999514829011,35674.38883824585,9.909552455068292
0.5,32,0.0009005142455755788,28.2257480193598,70267.73559048536,19.51881544180149
0.5,64,0.001787174425636806,56.0172537614976,139454.4290949608,38.7373414152669
0.5,128,0.003560494786214008,111.600265245774,277827.8161039118,77.17439336219772
0.5,256,0.0071071355080079,222.7662882143333,554574.5901218294,154.0484972560637
